,Sr.,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
0,0,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9193,13624
1,1,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,16138,21674
2,2,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1907,2171
3,3,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3334,3334
4,4,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4094,4615
5,5,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,6261,8015
6,6,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,1729,2362
7,7,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Female-Only,2464,2464
8,8,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,677,737
9,9,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Female-Only,990,990
10,10,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,13928,14224
11,11,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,18771,18771
12,12,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1982,1982
13,13,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,3448,3448
14,14,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4717,4961
15,15,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2375,2375
16,16,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3561,3561
17,17,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14571,14813
18,18,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,22114,22114
19,19,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2050,2050
20,20,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4987,5008
21,21,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,9188,9188
22,22,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2621,2628
23,23,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1473,1473
24,24,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14982,15033
25,25,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21738,21738
26,26,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2186,2186
27,27,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4734,5176
28,28,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,1720,1720
