Sr.,Year,Institute,Program,Duration,Degree,Category,Pool,Opening,Closing
1,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Gender-Neutral,9193,13624
2,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN,Female-Only,16138,21674
3,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Gender-Neutral,1907,2171
4,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,GEN-EWS,Female-Only,3334,3334
5,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Gender-Neutral,4094,4615
6,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,OBC-NCL,Female-Only,6261,8015
7,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Gender-Neutral,1729,2362
8,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,SC,Female-Only,2464,2464
9,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Gender-Neutral,677,737
10,2022,IIT-Bhubaneswar,Civil Engineering,4 Years,B.Tech,ST,Female-Only,990,990
11,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,13928,14224
12,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,18771,18771
13,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,1982,1982
14,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Female-Only,3448,3448
15,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4717,4961
16,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2375,2375
17,2022,IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Female-Only,3561,3561
18,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14571,14813
19,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,22114,22114
20,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2050,2050
21,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4987,5008
22,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Female-Only,9188,9188
23,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),SC,Gender-Neutral,2621,2628
24,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech in Transportation Engineering,5 Years,B.Tech + M.Tech (IDD),ST,Female-Only,1473,1473
25,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Gender-Neutral,14982,15033
26,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN,Female-Only,21738,21738
27,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),GEN-EWS,Gender-Neutral,2186,2186
28,2022,IIT-Bhubaneswar,Civil Engineering and M.Tech. in Environmental Engineering,5 Years,B.Tech + M.Tech (IDD),OBC-NCL,Gender-Neutral,4734,5176
